                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81032,                0.97209,                 1.5107,                0.96615,                0.96695,                0.98068,                0.76599,                0.84912,                0.55117,                  1.544,              0.0033265,              0.0033265,              0.0033265
                      2,                0.69886,                0.53318,                 1.3834,                0.95768,                0.93943,                0.97904,                0.74935,                0.83758,                0.64463,                 1.6694,              0.0066533,              0.0066533,              0.0066533
                      3,                0.76405,                0.58722,                 1.4284,                  0.917,                0.94661,                0.97681,                 0.7849,                0.73863,                0.63912,                 1.5328,              0.0099734,              0.0099734,              0.0099734
                      4,                0.79745,                0.60494,                 1.4532,                0.93526,                0.96413,                 0.9688,                0.75323,                0.78433,                0.61605,                 1.5908,              0.0099703,              0.0099703,              0.0099703
                      5,                0.74023,                0.55814,                  1.396,                 0.9633,                 0.9701,                 0.9868,                0.85043,                0.58651,                0.47908,                 1.3509,              0.0099703,              0.0099703,              0.0099703
                      6,                0.70646,                0.52637,                 1.3691,                0.95966,                0.97702,                0.98801,                0.84925,                0.58223,                0.43237,                 1.3647,              0.0099604,              0.0099604,              0.0099604
                      7,                0.67574,                0.50059,                  1.338,                0.97472,                0.99076,                0.99046,                 0.8878,                0.48501,                0.36091,                 1.2193,              0.0099505,              0.0099505,              0.0099505
                      8,                0.66774,                0.49223,                 1.3342,                0.97374,                0.98563,                0.99007,                0.88858,                 0.4829,                0.34978,                 1.2057,              0.0099406,              0.0099406,              0.0099406
                      9,                0.64755,                0.47347,                 1.3143,                0.97713,                0.96488,                0.98652,                0.88131,                0.50753,                0.38861,                 1.2384,              0.0099307,              0.0099307,              0.0099307
                     10,                0.62688,                0.45463,                 1.2941,                0.97641,                0.97727,                0.99013,                0.91037,                0.42773,                0.32862,                 1.1616,              0.0099208,              0.0099208,              0.0099208
                     11,                0.61851,                0.44801,                   1.29,                0.99122,                0.99076,                0.99158,                0.91754,                0.40555,                0.29224,                 1.1168,              0.0099109,              0.0099109,              0.0099109
                     12,                0.61373,                0.44146,                 1.2825,                0.98368,                0.98994,                0.99168,                0.92211,                0.40985,                0.30632,                 1.1065,               0.009901,               0.009901,               0.009901
                     13,                0.60927,                0.43987,                 1.2817,                0.98327,                0.99589,                0.99238,                0.91313,                0.42867,                0.29755,                 1.1428,              0.0098911,              0.0098911,              0.0098911
                     14,                0.60295,                0.43417,                 1.2729,                0.97573,                0.99067,                0.98988,                0.91957,                0.40235,                0.30875,                 1.1152,              0.0098812,              0.0098812,              0.0098812
                     15,                  0.587,                0.43093,                 1.2616,                0.98255,                0.99076,                0.99343,                0.91912,                0.40843,                0.29579,                 1.1179,              0.0098713,              0.0098713,              0.0098713
                     16,                0.57739,                0.41145,                 1.2508,                0.97583,                0.99504,                 0.9919,                0.93333,                0.36058,                0.25965,                 1.0666,              0.0098614,              0.0098614,              0.0098614
                     17,                0.57487,                0.41549,                 1.2476,                0.98674,                0.99306,                0.99303,                0.93546,                0.36236,                0.27543,                 1.0759,              0.0098515,              0.0098515,              0.0098515
                     18,                 0.5725,                0.41151,                 1.2474,                0.98576,                0.99527,                0.99319,                0.93847,                0.35723,                0.25918,                 1.0403,              0.0098416,              0.0098416,              0.0098416
                     19,                0.57141,                0.40354,                 1.2441,                0.98878,                0.99498,                0.99285,                0.93174,                0.37417,                0.26637,                 1.0825,              0.0098317,              0.0098317,              0.0098317
                     20,                0.54763,                0.39163,                 1.2239,                 0.9857,                0.99096,                0.99316,                0.94169,                0.35215,                 0.2587,                 1.0443,              0.0098218,              0.0098218,              0.0098218
                     21,                0.54197,                0.39288,                   1.22,                 0.9921,                0.99179,                0.99283,                0.94004,                0.34319,                0.25189,                 1.0352,              0.0098119,              0.0098119,              0.0098119
                     22,                0.54475,                 0.3883,                 1.2188,                0.98844,                0.99487,                0.99349,                0.94626,                0.34992,                0.25086,                 1.0429,               0.009802,               0.009802,               0.009802
                     23,                 0.5432,                0.38317,                 1.2184,                0.98572,                0.99487,                0.99177,                0.94264,                0.34996,                0.24727,                 1.0365,              0.0097921,              0.0097921,              0.0097921
                     24,                0.55483,                0.38944,                 1.2328,                0.99259,                0.99692,                 0.9933,                0.94097,                0.34511,                0.25133,                 1.0539,              0.0097822,              0.0097822,              0.0097822
                     25,                0.54614,                0.38597,                 1.2232,                0.98845,                0.99281,                0.99294,                0.94047,                0.34075,                0.23812,                 1.0401,              0.0097723,              0.0097723,              0.0097723
                     26,                0.52097,                0.37036,                  1.201,                 0.9908,                0.99487,                0.99306,                0.94498,                0.32828,                0.23409,                 1.0159,              0.0097624,              0.0097624,              0.0097624
                     27,                 0.5229,                0.37814,                 1.2034,                0.98982,                0.99281,                0.99093,                0.93923,                0.33982,                0.24794,                 1.0253,              0.0097525,              0.0097525,              0.0097525
                     28,                0.52548,                0.37764,                 1.2033,                 0.9908,                0.99589,                0.99199,                0.94859,                0.32935,                0.24015,                 1.0183,              0.0097426,              0.0097426,              0.0097426
                     29,                0.52419,                0.37293,                 1.2008,                0.98872,                0.99487,                0.99306,                0.95041,                0.32997,                0.23677,                 1.0083,              0.0097327,              0.0097327,              0.0097327
                     30,                  0.527,                0.37314,                 1.2057,                0.99229,                0.99487,                0.99335,                0.94933,                0.32677,                0.23564,                 1.0193,              0.0097228,              0.0097228,              0.0097228
                     31,                 0.5243,                0.37224,                 1.2017,                0.99162,                0.99692,                 0.9934,                0.95445,                 0.3138,                0.22278,                 0.9941,              0.0097129,              0.0097129,              0.0097129
                     32,                0.53029,                0.37539,                 1.2068,                 0.9893,                0.99589,                0.99275,                 0.9484,                 0.3263,                0.22988,                 1.0076,               0.009703,               0.009703,               0.009703
                     33,                 0.5279,                0.37526,                  1.211,                0.99035,                0.99076,                0.99298,                0.94986,                0.30763,                0.21792,                0.98626,              0.0096931,              0.0096931,              0.0096931
                     34,                0.52871,                 0.3744,                 1.2073,                0.99249,                0.99589,                0.99327,                0.95237,                0.30525,                0.21941,                0.97304,              0.0096832,              0.0096832,              0.0096832
                     35,                0.52083,                0.36672,                 1.1981,                0.98978,                0.99479,                0.99258,                0.95101,                0.30103,                0.22027,                0.98504,              0.0096733,              0.0096733,              0.0096733
                     36,                0.51916,                0.36502,                 1.2013,                0.99081,                0.99634,                0.99285,                0.95325,                0.30472,                0.21395,                0.98819,              0.0096634,              0.0096634,              0.0096634
                     37,                0.52312,                0.36419,                 1.2014,                0.99181,                0.99471,                0.99399,                 0.9577,                0.30143,                0.21394,                0.96815,              0.0096535,              0.0096535,              0.0096535
                     38,                0.52399,                0.37045,                 1.2042,                0.99182,                0.99548,                0.99285,                0.95397,                0.30613,                0.21497,                0.98407,              0.0096436,              0.0096436,              0.0096436
                     39,                 0.5249,                0.36555,                 1.2047,                0.99148,                0.99589,                  0.993,                0.95362,                0.31331,                0.22786,                0.99419,              0.0096337,              0.0096337,              0.0096337
                     40,                0.51451,                0.36277,                 1.1955,                0.99362,                0.99281,                0.99281,                0.95636,                0.29181,                0.21218,                0.97467,              0.0096238,              0.0096238,              0.0096238
                     41,                0.51779,                0.36942,                 1.2024,                0.99114,                0.99589,                0.99328,                0.95873,                0.28446,                0.20844,                0.96154,              0.0096139,              0.0096139,              0.0096139
                     42,                0.50669,                 0.3588,                 1.1865,                0.99181,                 0.9945,                0.99355,                0.95867,                0.29085,                  0.211,                0.96867,               0.009604,               0.009604,               0.009604
                     43,                0.49285,                0.34567,                 1.1762,                0.99337,                0.99384,                0.99303,                0.95758,                0.28254,                0.20474,                0.95632,              0.0095941,              0.0095941,              0.0095941
                     44,                0.49184,                0.34959,                 1.1769,                0.99437,                0.99589,                0.99326,                0.96006,                0.27457,                0.19953,                0.95173,              0.0095842,              0.0095842,              0.0095842
                     45,                0.49913,                0.35142,                 1.1799,                0.99192,                0.99589,                0.99337,                0.96021,                 0.2872,                0.20633,                0.95808,              0.0095743,              0.0095743,              0.0095743
                     46,                0.49699,                0.34774,                 1.1749,                0.99444,                0.99487,                0.99373,                0.96064,                0.28122,                0.19926,                0.95626,              0.0095644,              0.0095644,              0.0095644
                     47,                0.50072,                0.34733,                  1.183,                0.99284,                0.99611,                0.99393,                0.96385,                0.27519,                 0.1968,                0.94414,              0.0095545,              0.0095545,              0.0095545
                     48,                 0.4957,                0.34616,                 1.1757,                0.99072,                0.99692,                0.99321,                 0.9619,                0.27761,                0.19651,                0.94588,              0.0095446,              0.0095446,              0.0095446
                     49,                0.47237,                0.33074,                 1.1555,                0.99134,                0.99589,                0.99233,                0.96075,                 0.2735,                0.19392,                0.93846,              0.0095347,              0.0095347,              0.0095347
                     50,                0.47898,                0.34005,                 1.1627,                0.99283,                0.99541,                0.99162,                0.95873,                0.27815,                0.19384,                0.95101,              0.0095248,              0.0095248,              0.0095248
                     51,                0.48248,                0.34236,                  1.165,                0.99404,                0.99487,                0.99395,                0.96402,                0.26445,                0.19423,                0.93085,              0.0095149,              0.0095149,              0.0095149
                     52,                 0.4808,                 0.3351,                 1.1598,                0.99269,                0.99384,                0.99393,                0.96649,                 0.2668,                0.18911,                0.93952,               0.009505,               0.009505,               0.009505
                     53,                0.48096,                0.33781,                  1.165,                0.99283,                0.99553,                0.99343,                0.96738,                0.26891,                0.18987,                0.93472,              0.0094951,              0.0094951,              0.0094951
                     54,                0.48263,                0.33494,                 1.1642,                0.99385,                0.99584,                 0.9935,                0.96705,                0.26796,                0.18988,                0.92906,              0.0094852,              0.0094852,              0.0094852
                     55,                0.46095,                0.32223,                 1.1468,                0.99363,                0.99589,                0.99356,                0.96617,                0.25514,                0.18406,                0.92016,              0.0094753,              0.0094753,              0.0094753
                     56,                0.46894,                 0.3302,                  1.152,                0.99356,                0.99589,                0.99331,                0.96757,                0.26388,                  0.185,                0.92547,              0.0094654,              0.0094654,              0.0094654
                     57,                0.47289,                0.33508,                 1.1544,                0.99384,                0.99404,                0.99405,                0.96698,                0.26146,                0.18266,                 0.9326,              0.0094555,              0.0094555,              0.0094555
                     58,                0.47012,                0.33221,                 1.1527,                0.99274,                0.99589,                 0.9937,                0.96387,                0.25726,                  0.184,                0.92696,              0.0094456,              0.0094456,              0.0094456
                     59,                0.47288,                 0.3321,                 1.1576,                0.99182,                0.99588,                0.99251,                0.96542,                0.25668,                 0.1815,                0.92882,              0.0094357,              0.0094357,              0.0094357
                     60,                0.47391,                0.32987,                  1.157,                0.99183,                0.99657,                0.99389,                0.96894,                0.25485,                0.17903,                0.92137,              0.0094258,              0.0094258,              0.0094258
                     61,                0.49256,                0.33849,                 1.1748,                 0.9941,                0.99384,                0.99378,                0.96508,                0.26096,                0.18311,                0.92834,              0.0094159,              0.0094159,              0.0094159
                     62,                0.49376,                0.34632,                 1.1783,                0.99182,                0.99553,                0.99411,                 0.9655,                 0.2645,                 0.1837,                0.93612,               0.009406,               0.009406,               0.009406
                     63,                0.49602,                0.34475,                 1.1772,                0.99247,                0.99589,                0.99287,                0.96506,                0.25813,                0.18195,                0.93053,              0.0093961,              0.0093961,              0.0093961
                     64,                0.49153,                0.33568,                 1.1718,                  0.991,                0.99589,                0.99369,                0.96908,                0.25428,                0.18064,                0.92473,              0.0093862,              0.0093862,              0.0093862
                     65,                0.48909,                0.33747,                 1.1741,                0.99182,                0.99531,                0.99355,                0.97008,                0.25087,                0.17966,                0.91676,              0.0093763,              0.0093763,              0.0093763
                     66,                0.48992,                0.33981,                 1.1719,                 0.9902,                0.99692,                0.99392,                 0.9694,                0.25175,                0.17693,                0.92102,              0.0093664,              0.0093664,              0.0093664
                     67,                0.49693,                0.34348,                 1.1788,                0.99407,                0.99692,                0.99298,                0.96662,                0.24874,                0.17635,                0.91874,              0.0093565,              0.0093565,              0.0093565
                     68,                 0.4925,                0.34488,                 1.1733,                0.99229,                0.99692,                0.99299,                0.96708,                0.25276,                0.17946,                0.92323,              0.0093466,              0.0093466,              0.0093466
                     69,                0.48576,                0.33818,                 1.1674,                0.99101,                0.99692,                0.99325,                 0.9707,                0.24935,                0.17873,                0.91529,              0.0093367,              0.0093367,              0.0093367
                     70,                0.48657,                0.34174,                 1.1711,                0.99156,                0.99692,                0.99297,                0.96795,                0.24601,                 0.1722,                 0.9124,              0.0093268,              0.0093268,              0.0093268
                     71,                0.45542,                 0.3195,                   1.14,                0.99398,                0.99589,                0.99348,                0.97126,                0.24983,                 0.1752,                0.91442,              0.0093169,              0.0093169,              0.0093169
                     72,                0.46037,                0.32821,                  1.144,                0.99472,                0.99692,                0.99323,                0.96774,                0.25072,                0.17098,                0.91323,               0.009307,               0.009307,               0.009307
                     73,                0.46745,                 0.3249,                 1.1511,                0.99618,                0.99487,                0.99349,                0.97017,                0.24585,                0.16758,                0.90539,              0.0092971,              0.0092971,              0.0092971
                     74,                0.42572,                0.30227,                 1.1161,                0.99449,                0.99589,                 0.9936,                0.96962,                0.23609,                0.16383,                0.89579,              0.0092872,              0.0092872,              0.0092872
                     75,                0.43881,                0.31054,                 1.1277,                0.99487,                0.99555,                0.99366,                 0.9703,                0.24026,                0.16424,                0.90119,              0.0092773,              0.0092773,              0.0092773
                     76,                0.45715,                0.32047,                 1.1416,                0.99386,                0.99662,                0.99303,                0.96804,                0.24015,                0.16402,                0.90586,              0.0092674,              0.0092674,              0.0092674
                     77,                0.46843,                0.32553,                 1.1489,                0.99175,                0.99692,                0.99368,                0.96839,                0.24107,                0.16785,                0.90318,              0.0092575,              0.0092575,              0.0092575
                     78,                0.47099,                0.32762,                 1.1548,                0.99027,                0.99589,                0.99344,                0.96966,                0.23818,                0.16968,                0.89462,              0.0092476,              0.0092476,              0.0092476
                     79,                0.47126,                0.32594,                 1.1526,                0.99183,                0.99657,                0.99372,                0.97024,                0.24045,                0.16873,                 0.9015,              0.0092377,              0.0092377,              0.0092377
                     80,                0.47505,                 0.3271,                 1.1592,                0.99082,                0.99692,                0.99352,                0.97138,                0.23917,                0.16331,                0.89636,              0.0092278,              0.0092278,              0.0092278
                     81,                0.47744,                0.33072,                 1.1611,                0.99359,                0.99692,                0.99348,                0.97076,                0.24023,                 0.1647,                0.89831,              0.0092179,              0.0092179,              0.0092179
                     82,                0.47865,                0.33265,                 1.1604,                0.99385,                0.99591,                0.99333,                0.97133,                0.23917,                0.16216,                0.89866,               0.009208,               0.009208,               0.009208
                     83,                0.42532,                0.29759,                 1.1149,                0.99487,                0.99565,                 0.9935,                0.97166,                0.24529,                 0.1647,                0.90253,              0.0091981,              0.0091981,              0.0091981
                     84,                 0.4396,                 0.3084,                 1.1284,                0.99488,                0.99666,                0.99352,                0.96979,                0.24495,                0.16325,                0.90344,              0.0091882,              0.0091882,              0.0091882
                     85,                0.44936,                 0.3138,                 1.1347,                0.99556,                0.99589,                0.99357,                0.96939,                0.24259,                0.16146,                0.90005,              0.0091783,              0.0091783,              0.0091783
                     86,                0.45296,                0.31794,                 1.1384,                0.99487,                0.99646,                0.99358,                0.96935,                0.24012,                0.16178,                0.89906,              0.0091684,              0.0091684,              0.0091684
                     87,                0.45828,                0.31637,                 1.1439,                0.99342,                0.99692,                0.99381,                 0.9676,                0.24129,                0.16412,                0.90226,              0.0091585,              0.0091585,              0.0091585
                     88,                0.45524,                0.31439,                 1.1391,                 0.9934,                0.99487,                0.99361,                0.96958,                0.24166,                0.16153,                0.90402,              0.0091486,              0.0091486,              0.0091486
                     89,                0.40728,                0.28653,                 1.0999,                0.99487,                0.99582,                0.99375,                0.97099,                0.24109,                0.15973,                0.90326,              0.0091387,              0.0091387,              0.0091387
                     90,                0.42383,                 0.2977,                 1.1154,                0.99368,                0.99692,                0.99358,                0.97119,                0.23889,                0.15924,                0.90215,              0.0091288,              0.0091288,              0.0091288
                     91,                0.43955,                0.30514,                 1.1265,                0.99181,                0.99692,                0.99335,                0.97117,                0.23977,                 0.1602,                0.90211,              0.0091189,              0.0091189,              0.0091189
                     92,                0.44295,                0.30728,                 1.1296,                0.99385,                0.99592,                0.99323,                0.97113,                0.24084,                0.15846,                0.90361,               0.009109,               0.009109,               0.009109
                     93,                0.45176,                0.31702,                 1.1395,                0.99483,                0.99384,                0.99321,                0.97198,                0.23849,                0.15995,                0.89712,              0.0090991,              0.0090991,              0.0090991
                     94,                0.45496,                0.31418,                 1.1391,                0.99346,                0.99487,                 0.9931,                0.97138,                0.23749,                 0.1595,                0.89834,              0.0090892,              0.0090892,              0.0090892
                     95,                0.46539,                0.31645,                 1.1502,                0.99487,                0.99568,                0.99334,                0.97249,                0.23684,                0.15647,                0.89565,              0.0090793,              0.0090793,              0.0090793
                     96,                0.39178,                0.27842,                 1.0862,                0.99385,                0.99516,                 0.9934,                  0.973,                0.22963,                0.15449,                 0.8886,              0.0090694,              0.0090694,              0.0090694
                     97,                0.41098,                0.28804,                 1.1048,                0.99358,                0.99589,                0.99332,                0.97288,                0.22821,                0.15308,                0.88658,              0.0090595,              0.0090595,              0.0090595
                     98,                0.37649,                0.27032,                  1.076,                0.99365,                0.99589,                0.99335,                0.97341,                0.23388,                0.15881,                0.89029,              0.0090496,              0.0090496,              0.0090496
                     99,                 0.4067,                0.28757,                  1.102,                0.99373,                0.99589,                0.99341,                0.97401,                0.23563,                0.15579,                0.89354,              0.0090397,              0.0090397,              0.0090397
                    100,                0.42873,                0.29909,                 1.1181,                0.99356,                0.99589,                0.99339,                0.97371,                0.23436,                0.15442,                0.89405,              0.0090298,              0.0090298,              0.0090298
                    101,                0.36281,                0.26254,                 1.0627,                0.99349,                0.99589,                 0.9935,                0.97353,                0.22864,                 0.1517,                0.89019,              0.0090199,              0.0090199,              0.0090199
                    102,                0.40366,                0.28699,                 1.0987,                 0.9934,                0.99589,                0.99358,                 0.9727,                0.22978,                0.15147,                 0.8898,                0.00901,                0.00901,                0.00901
                    103,                0.42933,                 0.2973,                 1.1191,                0.99327,                0.99589,                0.99345,                0.97276,                0.22924,                0.15129,                0.88917,              0.0090001,              0.0090001,              0.0090001
                    104,                0.35186,                0.25421,                 1.0531,                0.99386,                0.99672,                0.99344,                0.97285,                0.23496,                 0.1536,                0.89294,              0.0089902,              0.0089902,              0.0089902
                    105,                0.39959,                0.28145,                 1.0939,                0.99385,                0.99584,                0.99353,                 0.9734,                0.23486,                0.15426,                 0.8928,              0.0089803,              0.0089803,              0.0089803
                    106,                0.42396,                0.29605,                 1.1128,                0.99309,                0.99589,                0.99342,                0.97388,                0.23268,                0.15354,                0.89093,              0.0089704,              0.0089704,              0.0089704
                    107,                0.43579,                0.30205,                 1.1237,                0.99283,                0.99575,                0.99346,                0.97353,                0.23386,                0.15487,                 0.8922,              0.0089605,              0.0089605,              0.0089605
                    108,                0.44662,                0.30779,                 1.1343,                0.99385,                0.99579,                0.99341,                0.97382,                0.23409,                0.15421,                0.89161,              0.0089506,              0.0089506,              0.0089506
                    109,                0.34203,                0.24901,                  1.045,                0.99385,                0.99595,                0.99347,                0.97316,                0.22927,                0.15188,                0.88855,              0.0089407,              0.0089407,              0.0089407
                    110,                0.38979,                  0.275,                 1.0861,                0.99319,                0.99589,                0.99336,                0.97328,                0.22957,                0.15114,                0.89011,              0.0089308,              0.0089308,              0.0089308
                    111,                0.42565,                0.29424,                 1.1152,                0.99182,                 0.9962,                0.99321,                0.97307,                0.22947,                 0.1512,                0.88933,              0.0089209,              0.0089209,              0.0089209
                    112,                0.44032,                 0.3031,                 1.1272,                0.99182,                0.99637,                0.99315,                0.97294,                0.22896,                0.15025,                0.88764,               0.008911,               0.008911,               0.008911
                    113,                0.44824,                0.30676,                 1.1366,                0.99297,                0.99487,                0.99305,                0.97277,                0.22855,                0.15087,                0.88757,              0.0089011,              0.0089011,              0.0089011
                    114,                0.45795,                0.31176,                 1.1435,                0.99239,                0.99589,                0.99302,                0.97273,                0.22939,                0.15113,                0.88901,              0.0088912,              0.0088912,              0.0088912
                    115,                0.46865,                0.32154,                 1.1545,                0.99284,                0.99674,                0.99302,                0.97255,                0.22918,                0.15138,                0.88893,              0.0088813,              0.0088813,              0.0088813
                    116,                0.47038,                0.32349,                 1.1572,                0.99284,                0.99644,                0.99311,                0.97271,                0.22822,                0.15036,                0.88884,              0.0088714,              0.0088714,              0.0088714
                    117,                0.47585,                 0.3261,                  1.158,                0.99284,                 0.9965,                0.99302,                 0.9729,                0.22795,                0.15084,                0.88862,              0.0088615,              0.0088615,              0.0088615
                    118,                0.47116,                0.32363,                 1.1547,                 0.9926,                0.99692,                0.99307,                0.97317,                0.22739,                 0.1503,                0.88894,              0.0088516,              0.0088516,              0.0088516
                    119,                 0.4684,                 0.3209,                 1.1559,                0.99283,                0.99692,                0.99312,                0.97348,                0.22724,                 0.1506,                0.88882,              0.0088417,              0.0088417,              0.0088417
